objectid,id_no,binomial,latitude,longitude,Type
3130981,191828,Lupinoblennius nicholsi,18.8,-95.85,Blennies
3130982,191828,Lupinoblennius nicholsi,18.5525,-95.0114,Blennies
3130983,191828,Lupinoblennius nicholsi,18.552,-95.011,Blennies
3130984,191828,Lupinoblennius nicholsi,19.0972,-96.1106,Blennies
3130985,191828,Lupinoblennius nicholsi,19.097221,-96.11056,Blennies
3130986,191828,Lupinoblennius nicholsi,19,-96,Blennies
3130987,191828,Lupinoblennius nicholsi,20.989,-97.342,Blennies
3130988,191828,Lupinoblennius nicholsi,20.986,-97.349,Blennies
3130989,191828,Lupinoblennius nicholsi,20.969,-97.331,Blennies
3130990,191828,Lupinoblennius nicholsi,20.967,-97.325,Blennies
3130991,191828,Lupinoblennius nicholsi,20.976,-97.342,Blennies
3130992,191828,Lupinoblennius nicholsi,21.6333,-97.65,Blennies
3130993,191828,Lupinoblennius nicholsi,21.019,-97.35,Blennies
3130994,191828,Lupinoblennius nicholsi,21.032,-97.355,Blennies
3130995,191828,Lupinoblennius nicholsi,21.006,-97.349,Blennies
3130996,191828,Lupinoblennius nicholsi,21.018,-97.352,Blennies
3130997,191828,Lupinoblennius nicholsi,21.633,-97.65,Blennies
3130998,191828,Lupinoblennius nicholsi,22.0833,-97.8333,Blennies
3130999,191828,Lupinoblennius nicholsi,22.2,-97.854164,Blennies
3131000,191828,Lupinoblennius nicholsi,22,-97.8542,Blennies
3131001,191828,Lupinoblennius nicholsi,22,-97.854164,Blennies
3131002,191828,Lupinoblennius nicholsi,22.167,-97.867,Blennies
3552495,65403364,Microphis ocellatus,6.731179,80.111286,Syngnathiformes
3552496,65403364,Microphis ocellatus,6.738554,80.188354,Syngnathiformes
3552497,65403364,Microphis ocellatus,6.6166,80.2166,Syngnathiformes
3552498,65403364,Microphis ocellatus,6.703797,80.293321,Syngnathiformes
3552499,65403364,Microphis ocellatus,7.8,81.6167,Syngnathiformes
3552500,65403364,Microphis ocellatus,6.095783,80.190448,Syngnathiformes
3552501,65403364,Microphis ocellatus,6.65,80.216667,Syngnathiformes
3552502,65403364,Microphis ocellatus,6.996076,80.407562,Syngnathiformes
3552503,65403364,Microphis ocellatus,6.9105,80.2752,Syngnathiformes
4207008,180652,Doryichthys martensii,-5.6,104,Syngnathiformes
4207009,180652,Doryichthys martensii,-4.9,105,Syngnathiformes
4207010,180652,Doryichthys martensii,-3.7,103,Syngnathiformes
4207011,180652,Doryichthys martensii,-3.6,104,Syngnathiformes
4207012,180652,Doryichthys martensii,-3.5,104,Syngnathiformes
4207013,180652,Doryichthys martensii,-0.3,112,Syngnathiformes
4207014,180652,Doryichthys martensii,0.5,109,Syngnathiformes
4207015,180652,Doryichthys martensii,0.6,109,Syngnathiformes
4207016,180652,Doryichthys martensii,1.7,104,Syngnathiformes
4207017,180652,Doryichthys martensii,1.8,103,Syngnathiformes
4207018,180652,Doryichthys martensii,1.8,104,Syngnathiformes
4207019,180652,Doryichthys martensii,1.8,114,Syngnathiformes
4207020,180652,Doryichthys martensii,1.9,104,Syngnathiformes
4207021,180652,Doryichthys martensii,2.1,104,Syngnathiformes
4207022,180652,Doryichthys martensii,2.3,104,Syngnathiformes
4207023,180652,Doryichthys martensii,2.6,103,Syngnathiformes
4207024,180652,Doryichthys martensii,2.7,103,Syngnathiformes
4207025,180652,Doryichthys martensii,4.2,101,Syngnathiformes
4207026,180652,Doryichthys martensii,6.7,101,Syngnathiformes
4207027,180652,Doryichthys martensii,6.9,100,Syngnathiformes
4207028,180652,Doryichthys martensii,7,100,Syngnathiformes
4207029,180652,Doryichthys martensii,8.3,100,Syngnathiformes
4207030,180652,Doryichthys martensii,8.6,100,Syngnathiformes
4207031,180652,Doryichthys martensii,9.2,99,Syngnathiformes
4207032,180652,Doryichthys martensii,9.4,126,Syngnathiformes
4207033,180652,Doryichthys martensii,9.9,98,Syngnathiformes
4368283,181105,Doryichthys boaja,-3.3,114.6,Syngnathiformes
4368284,181105,Doryichthys boaja,3.8,113.8,Syngnathiformes
4368285,181105,Doryichthys boaja,4.7,115.1,Syngnathiformes
4368286,181105,Doryichthys boaja,4.8,115.1,Syngnathiformes
4368287,181105,Doryichthys boaja,4.9,115,Syngnathiformes
4368288,181105,Doryichthys boaja,9.1,105.2,Syngnathiformes
4368289,181105,Doryichthys boaja,10.2,106.2,Syngnathiformes
4368290,181105,Doryichthys boaja,11.3,105.3,Syngnathiformes
4368291,181105,Doryichthys boaja,11.6,104.8,Syngnathiformes
4368292,181105,Doryichthys boaja,11.7,104.9,Syngnathiformes
4368293,181105,Doryichthys boaja,12.2,104.7,Syngnathiformes
4368294,181105,Doryichthys boaja,12.3,104.7,Syngnathiformes
4368295,181105,Doryichthys boaja,12.3,104.8,Syngnathiformes
4368296,181105,Doryichthys boaja,13.2,103.9,Syngnathiformes
4368297,181105,Doryichthys boaja,13.5,100.3,Syngnathiformes
4368298,181105,Doryichthys boaja,14,101.4,Syngnathiformes
4368299,181105,Doryichthys boaja,14.1,101.4,Syngnathiformes
4368300,181105,Doryichthys boaja,22.6,120.3,Syngnathiformes
4368301,181105,Doryichthys boaja,24.7,121.8,Syngnathiformes
1810810,181217,Doryichthys deokhatoides,-17.3,123.6,Syngnathiformes
1810811,181217,Doryichthys deokhatoides,0.1,110.6,Syngnathiformes
1810812,181217,Doryichthys deokhatoides,1.8,103.9,Syngnathiformes
1810815,181217,Doryichthys deokhatoides,1.9,103.9,Syngnathiformes
1810816,181217,Doryichthys deokhatoides,1.9,104,Syngnathiformes
1810817,181217,Doryichthys deokhatoides,3.3,114.7,Syngnathiformes
1810818,181217,Doryichthys deokhatoides,3.3,114.8,Syngnathiformes
1810819,181217,Doryichthys deokhatoides,3.7,114.4,Syngnathiformes
1810820,181217,Doryichthys deokhatoides,3.7,114.5,Syngnathiformes
1810821,181217,Doryichthys deokhatoides,3.8,113.8,Syngnathiformes
1810822,181217,Doryichthys deokhatoides,11.6,104.8,Syngnathiformes
1810823,181217,Doryichthys deokhatoides,12.2,104.7,Syngnathiformes
1810824,181217,Doryichthys deokhatoides,12.3,104.8,Syngnathiformes
1810825,181217,Doryichthys deokhatoides,13.3,103.9,Syngnathiformes